image,status,error,txt_path,translated,spoken_text,wav_path
(1).jpg,fail,vision_or_llm_failed,,False,,
(10).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(10)_20251209_111152.txt,True,"Di depan terlihat sebuah toko kecil dengan pintu biru dan counter di dalam. Ada berbagai barang yang dipajang, termasuk kotak dan tas. Toko ini terletak di bawah kanopi dengan pohon di dekatnya. Tanah di luar dilapisi dengan ubin. Tidak ada bahaya secara langsung untuk tunanetra, tapi tata letak toko mungkin menimbulkan beberapa tantangan.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111202.wav
(11).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(11)_20251209_111219.txt,True,"Di depan terlihat modern, terbuka ruang makan udara dengan meja dan kursi. Lantai ditutupi dengan kecil, kerikil putih, dan dinding dihiasi dengan tanaman hijau. Area ini tampak bersih dan dijaga dengan baik. Tidak ada bahaya secara langsung bagi orang-tunanetra, karena ruang terlihat dengan jelas dan tabel yang berjarak terpisah.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111224.wav
(12).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(12)_20251209_111237.txt,True,"Di depan terlihat jalan beraspal dengan beberapa sepeda motor diparkir di sepanjang sisi. Ada beberapa daun berserakan dan puing-puing di tanah. Jalan setapak tampaknya sedikit tidak rata, dengan beberapa retakan dan tambalan. Tidak ada bahaya secara langsung untuk tunanetra, tapi permukaan yang tidak rata dan tersebar puing-puing bisa menimbulkan risiko.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111242.wav
(13).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(13)_20251209_111252.txt,True,"Di depan terlihat jalan dengan trotoar rusak dan lubang. Ada pohon dan bangunan di latar belakang. Jalan tampak basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung untuk tunanetra, tetapi lubang dan permukaan tidak rata bisa menimbulkan risiko.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111256.wav
(14).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(14)_20251209_111306.txt,True,"Di depan ini terlihat lokasi konstruksi dengan tumpukan batu bata dan bahan bangunan di trotoar. Ada gerobak dekat sini. Area ini tampaknya berada di bawah pembangunan, dan tidak ada hambatan terlihat atau tanda-tanda peringatan. Ini bisa menimbulkan risiko bagi individu cacat visual yang mungkin tidak melihat bahan-bahan konstruksi dan bisa tersandung mereka.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111311.wav
(15).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(15)_20251209_111324.txt,True,"Di depan terlihat jalan basah dengan mobil putih dan sepeda motor mengemudi di atasnya. Ada pohon dan bangunan di latar belakang. Jalan tampak basah, mungkin dari hujan baru-baru ini. Ada tiang garis biru dan putih di sisi jalan. Situasi keseluruhan tenang dan khas hari hujan di area perkotaan.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111328.wav
(16).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(16)_20251209_111338.txt,True,"Di depan ini terlihat trotoar beraspal dengan simbol kursi roda yang terlihat area yang dapat diakses. Tidak ada bahaya secara langsung untuk tunanetra, karena simbol jelas terlihat.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111341.wav
(17).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(17)_20251209_111351.txt,True,"Di depan terlihat pintu masuk bangunan modern dengan satu set tangga yang mengarah ke pintu. Ada tanda kuning hati-hati di tangga, terlihat permukaan basah. Area ini bersih dan dijaga dengan baik, dengan pot tanaman dan pipa biru berjalan sepanjang puncak tangga. Tidak ada bahaya secara langsung untuk tunanetra, karena tanda jelas terlihat dan tangga terlihat dengan jelas.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111357.wav
(18).jpg,ok,,/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/outputs-test/(18)_20251209_111408.txt,True,"Di depan terlihat area basah dan beraspal dengan dua kerucut oranye ditempatkan di tanah. Ada pohon dan parkir mobil di latar belakang. Permukaan basah dan kehadiran kerucut terlihat bahwa area mungkin di bawah konstruksi atau sementara ditutup. tunanetra harus berhati-hati dari permukaan basah dan licin, serta potensi bahaya yang ditimbulkan oleh kerucut.",/home/skripsibro/qwenikol/skripsi-qwen2.5/testing-pipeline/audios-test/output_20251209_111413.wav
